image_path,group,group_source,label,class_id,meaning,advice
dataset_aug/Prohibitory Signs/P.103c/1_rot-45.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_rot10.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_rot20.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_rot30.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_rot45.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_shear_5deg.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_shear_m5deg.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_zoom_in.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.103c/1_zoom_out.png,cấm,Prohibitory Signs,P.103c,,Cấm ô tô rẽ trái,Ô tô không được rẽ trái. Xe máy 2 bánh vẫn được rẽ.
dataset_aug/Prohibitory Signs/P.104/1.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_blur.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_bright.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_dark.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_original.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_persp1.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_persp2.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot-10.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot-20.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot-30.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot-45.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot10.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot20.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot30.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_rot45.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_shear_5deg.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_shear_m5deg.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_zoom_in.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.104/1_zoom_out.png,cấm,Prohibitory Signs,P.104,,Cấm xe mô tô,Cấm mô tô đi vào. Không cấm xe gắn máy dưới 50cc.
dataset_aug/Prohibitory Signs/P.105/1.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_blur.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_bright.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_dark.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_original.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_persp1.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_persp2.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_rot-10.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
dataset_aug/Prohibitory Signs/P.105/1_rot-20.png,cấm,Prohibitory Signs,P.105,,Cấm ô tô và xe mô tô,Cấm cả ô tô lẫn mô tô. Chỉ xe đạp và người đi bộ được qua.
