group,true,top1_label,top2_label,top3_label,top1,top2,top3,score
Information Signs,I.442,I.442,I.443,I.433b,True,True,True,0.8330283871403446
Information Signs,I.443,I.443,I.433b,I.423a,True,True,True,0.8785889413621689
Information Signs,I.444a,I.444a,I.444k,I.444h,True,True,True,0.7266487545437282
Information Signs,I.444b,I.444b,I.444d,I.435,True,True,True,0.7578033959424053
Information Signs,I.444c,I.444c,I.447d,I.417c,True,True,True,0.735500794869882
Information Signs,I.444d,I.435,I.434a,I.444d,False,False,True,0.737320237689548
Information Signs,I.444e,HTTP_400,,,False,False,False,0.0
Information Signs,I.444f,I.444f,I.435,I.444d,True,True,True,0.734777945059317
Information Signs,I.444g,I.444g,I.445b,I.445a,True,True,True,0.7512494016576695
Information Signs,I.444h,I.431,I.435,I.444h,False,False,True,0.6896283096737331
Information Signs,I.444i,HTTP_400,,,False,False,False,0.0
Information Signs,I.444j,I.435,I.444d,I.444j,False,False,True,0.6886284086439344
Information Signs,I.444k,I.435,I.440,I.417c,False,False,False,0.6862598525153265
Information Signs,I.444l,I.444l,I.444g,I.422a,True,True,True,0.6926856747380009
Information Signs,I.444m,I.447d,I.435,I.447b,False,False,False,0.697400269684968
Information Signs,I.445a,I.445b,I.445a,I.445c,False,True,True,0.7671784118369773
Information Signs,I.445b,I.445b,I.445a,I.445c,True,True,True,0.7367851204342312
Information Signs,I.445c,I.419a,I.445b,I.445a,False,False,False,0.7759355703989664
Information Signs,I.445d,I.445d,I.445b,I.445a,True,True,True,0.7074774724465829
Information Signs,I.445e,I.434b,I.434a,I.435,False,False,False,0.7552504186277036
Information Signs,I.445f,I.445h,I.447a,I.445b,False,False,False,0.7566210163964164
Information Signs,I.445g,I.417c,I.434b,I.447a,False,False,False,0.7153678911703604
Information Signs,I.445h,I.445h,I.447a,I.445b,True,True,True,0.7853810522291395
Information Signs,I.446,I.446b,I.446,I.424a,False,True,True,0.8849774996439616
Information Signs,I.446b,I.446b,I.446,I.424a,True,True,True,0.8849774996439616
Information Signs,I.447a,I.447a,I.447d,I.447c,True,True,True,0.8175242035477249
Information Signs,I.447b,I.447b,I.447c,I.447d,True,True,True,0.8230161313657407
Information Signs,I.447c,I.447c,I.447b,I.447d,True,True,True,0.8080846821820293
Information Signs,I.447d,I.447d,I.447c,I.447b,True,True,True,0.8205960944846824
Information Signs,I.448,I.448,I.405c,I.437,True,True,True,0.8543656137254502
Information Signs,I.449,I.404,I.403,I.449,False,False,True,0.8130812291745786
Mandatory Signs,R.122,R.122,P.102,P.130,True,True,True,0.8857537728768807
Mandatory Signs,R.301a,R.301a,R.301b,R.302c,True,True,True,0.9533540761029279
Mandatory Signs,R.301b,R.301b,R.301c,R.302b,True,True,True,0.9613882523995858
Mandatory Signs,R.301c,R.301b,R.301a,R.301c,False,False,True,0.9262138296056677
Mandatory Signs,R.301d,R.301d,R.301b,R.301c,True,True,True,0.8868201220477068
Mandatory Signs,R.301e,R.301e,R.301f,R.301d,True,True,True,0.9609813513579192
Mandatory Signs,R.301f,R.301f,R.301g,R.301h,True,True,True,0.8868305418226453
Mandatory Signs,R.301g,R.301g,R.301f,R.301h,True,True,True,0.8864395353529188
Mandatory Signs,R.301h,R.301h,R.301f,R.301c,True,True,True,0.8866289015169496
Mandatory Signs,R.302a,R.301b,R.301a,R.302a,False,False,True,0.9423430230882432
Mandatory Signs,R.302b,R.301a,R.301b,R.302b,False,False,True,0.9115702487804271
Mandatory Signs,R.302c,R.301b,R.301f,R.301a,False,False,False,0.9084808738143355
Mandatory Signs,R.303,R.303,R.301e,R.301a,True,True,True,0.8855970347369158
Mandatory Signs,R.304,R.304,R.403f,R.404f,True,True,True,0.8852877087063259
Mandatory Signs,R.305,R.305,W.224,I.423a,True,True,True,0.886075461352313
Mandatory Signs,R.306,R.306,R.307,P.127_60,True,True,True,0.8848295035185636
Mandatory Signs,R.307,R.307,R.306,DP.134,True,True,True,0.8859456998330575
Mandatory Signs,R.308a,R.308a,R.308b,R.301h,True,True,True,0.8840161429511175
Mandatory Signs,R.308b,R.308b,R.301f,R.301h,True,True,True,0.8849442093460648
Mandatory Signs,R.309,R.309,P.128,I.418,True,True,True,0.8869557557282624
Mandatory Signs,R.310a,R.310a,R.310b,R.310c,True,True,True,0.8369484300966615
Mandatory Signs,R.310b,R.310b,R.310a,R.310c,True,True,True,0.7959860872339318
Mandatory Signs,R.310c,R.310a,R.310b,R.310c,False,False,True,0.8288481147200972
Mandatory Signs,R.403a,R.403a,R.403d,R.404a,True,True,True,0.8589650171774404
Mandatory Signs,R.403b,R.404b,R.403b,R.403f,False,True,True,0.8193139323481806
Mandatory Signs,R.403c,R.403c,R.404c,R.403a,True,True,True,0.8463604891741716
Mandatory Signs,R.403d,R.403d,R.403a,R.404d,True,True,True,0.8295597500271267
Mandatory Signs,R.403e,R.403e,R.403f,R.403b,True,True,True,0.8495100869072807
Mandatory Signs,R.403f,R.403f,R.404f,R.403e,True,True,True,0.8638114046167443
Mandatory Signs,R.403g,R.403g,R.403k,R.403h,True,True,True,0.8613015634042245
Mandatory Signs,R.403h,R.403h,R.404h,R.403k,True,True,True,0.8540732860565184
Mandatory Signs,R.403k,R.403k,R.403g,R.403h,True,True,True,0.856401311026679
Mandatory Signs,R.404a,R.404a,R.404d,R.403a,True,True,True,0.8595340870044849
Mandatory Signs,R.404b,R.404b,R.404e,R.404f,True,True,True,0.8537300074542009
Mandatory Signs,R.404c,R.404c,R.403c,R.404a,True,True,True,0.8555728947674786
Mandatory Signs,R.404d,R.404d,R.404a,R.403d,True,True,True,0.8605057751690899
Mandatory Signs,R.404e,R.404e,R.404b,R.404f,True,True,True,0.8601659403906927
Mandatory Signs,R.404f,R.404f,R.404b,R.404e,True,True,True,0.8631747387073657
Mandatory Signs,R.404g,R.404g,R.403g,R.404h,True,True,True,0.8438715758147062
Mandatory Signs,R.404h,R.404h,R.403h,R.404g,True,True,True,0.8588703120196306
Mandatory Signs,R.404k,R.404k,R.404h,R.403k,True,True,True,0.8367278046078152
Mandatory Signs,R.411,R.411,R.308b,R.301g,True,True,True,0.8109215100606282
Mandatory Signs,R.415a,R.415a,R.415b,R.403b,True,True,True,0.8291495817678946
Mandatory Signs,R.415b,R.404b,R.415b,R.404f,False,True,True,0.8184794673213251
Mandatory Signs,R.420,R.420,R.421,R.403d,True,True,True,0.842085732354058
Mandatory Signs,R.421,R.421,R.404d,R.404a,True,True,True,0.836984943460535
Mandatory Signs,"R.E,10a","R.E,10a","R.E,9a","R.E,10b",True,True,True,0.8619206569812915
Mandatory Signs,"R.E,10b","R.E,10b","R.E,9b","R.E,10a",True,True,True,0.8251738195066098
Mandatory Signs,"R.E,10c","R.E,10c","R.E,10a","R.E,9c",True,True,True,0.8022557011357059
Mandatory Signs,"R.E,10d","R.E,10d","R.E,9d",DP.134,True,True,True,0.848427136739095
Mandatory Signs,"R.E,11a","R.E,11a","R.E,11b",R.403d,True,True,True,0.8419415332652903
Mandatory Signs,"R.E,11b","R.E,11b","R.E,11a",R.421,True,True,True,0.8500042314882631
Mandatory Signs,"R.E,9a","R.E,9a","R.E,10a","R.E,9b",True,True,True,0.8713200004012496
Mandatory Signs,"R.E,9b","R.E,9b","R.E,10b","R.E,9a",True,True,True,0.8439251758434153
Mandatory Signs,"R.E,9c","R.E,9c","R.E,10c",I.408,True,True,True,0.8339425016332555
Mandatory Signs,"R.E,9d","R.E,9d","R.E,10d",P.127,True,True,True,0.8493879636128743
Prohibitory Signs,P.101,P.101,P.131c,P.131a,True,True,True,0.8871930263660571
Prohibitory Signs,P.102,P.102,P.131a,P.130,True,True,True,0.880443219785337
Prohibitory Signs,P.103a,P.103a,P.107,P.103b,True,True,True,0.8866427651158084
Prohibitory Signs,P.103b,P.103b,P.124f,P.103c,True,True,True,0.9522815015580919
Prohibitory Signs,P.103c,P.103c,P.103b,P.124f,True,True,True,0.9555751217736138
Prohibitory Signs,P.104,P.104,P.105,P.111a,True,True,True,0.8811848781726977
Prohibitory Signs,P.105,P.103b,P.105,P.103c,False,True,True,0.8921923372480605
Prohibitory Signs,P.106a,P.106a,P.108a,P.107,True,True,True,0.8770711863482439
Prohibitory Signs,P.106b,P.106b,P.119,P.119a,True,True,True,0.8827066951327853
Prohibitory Signs,P.106b_1.5,P.106b_1.5,P.106b,P.106b_15,True,True,True,0.8830052040241382
Prohibitory Signs,P.106b_10,P.106b_10,P.106b_15,P.106b_8,True,True,True,0.883990932393957
Prohibitory Signs,P.106b_15,P.106b_15,P.106b_10,P.106b_5,True,True,True,0.8837912789097537
Prohibitory Signs,P.106b_2,P.106b_2,P.106b_7,P.106b_8,True,True,True,0.8834346223760533
Prohibitory Signs,P.106b_5,P.106b_5,P.106b_15,P.106b_8,True,True,True,0.8835167884826659
Prohibitory Signs,P.106b_7,P.106b_7,P.106b_2,P.106b_8,True,True,True,0.882503244611952
Prohibitory Signs,P.106b_8,P.106b_8,P.106b_7,P.106b_2,True,True,True,0.8824260234832763
Prohibitory Signs,P.106c,P.106c,P.106a,P.111b,True,True,True,0.871859002996374
Prohibitory Signs,P.107,P.103b,P.107,P.103c,False,True,True,0.8827804989284939
Prohibitory Signs,P.107a,P.107a,P.107,P.103a,True,True,True,0.8804770399022984
Prohibitory Signs,P.107b,P.107b,P.103a,P.107a,True,True,True,0.884532539932816
Prohibitory Signs,P.108,P.108,P.106a,P.108a,True,True,True,0.8754114398249873
Prohibitory Signs,P.108a,P.108a,P.106a,P.107,True,True,True,0.8807889267250343
Prohibitory Signs,P.109,P.109,P.140,P.111b,True,True,True,0.8796770572662352
Prohibitory Signs,P.110a,P.110a,P.111a,P.110b,True,True,True,0.881320070337366
Prohibitory Signs,P.110b,P.110b,P.111a,P.110a,True,True,True,0.8796393076578776
Prohibitory Signs,P.111a,P.111a,P.110b,P.110a,True,True,True,0.880710690109818
Prohibitory Signs,P.111b,P.111b,P.103b,P.103c,True,True,True,0.8770062835128218
Prohibitory Signs,P.111c,P.111c,P.111a,P.105,True,True,True,0.8788693922537344
Prohibitory Signs,P.111d,P.111d,P.111a,P.110b,True,True,True,0.8797122460824471
Prohibitory Signs,P.112,P.112,R.305,W.224,True,True,True,0.8777905481832998
Prohibitory Signs,P.113,P.113,P.108,P.110b,True,True,True,0.8802042713871707
Prohibitory Signs,P.114,P.114,P.108,P.111c,True,True,True,0.881015380223592
Prohibitory Signs,P.115,P.115,P.127_10,P.127,True,True,True,0.8855480264734338
Prohibitory Signs,P.116,P.116,P.118,P.119a,True,True,True,0.8831481668684217
Prohibitory Signs,P.117,P.117,P.119b,P.117a,True,True,True,0.8849461520159685
Prohibitory Signs,P.117a,P.117,P.119b,P.117a,False,False,True,0.8849461520159685
Prohibitory Signs,P.118,P.118,P.119b,P.117a,True,True,True,0.8835978949511492
Prohibitory Signs,P.119,P.119,P.119a,P.120,True,True,True,0.8857371718795211
Prohibitory Signs,P.119a,P.119,P.119a,P.120,False,True,True,0.8857371718795211
Prohibitory Signs,P.119b,P.117,P.119b,P.117a,False,True,True,0.8849461520159685
Prohibitory Signs,P.120,P.120,P.119a,P.119,True,True,True,0.877896953512121
Prohibitory Signs,P.121,P.121,P.125,P.120,True,True,True,0.8824945025973849
Prohibitory Signs,P.123a,P.123a,P.124d,P.123b,True,True,True,0.9521335495842828
Prohibitory Signs,P.123b,P.123b,P.123a,P.124a1,True,True,True,0.943695033038104
Prohibitory Signs,P.124a1,P.124a1,P.124a2,P.124c,True,True,True,0.9543873557338007
Prohibitory Signs,P.124a2,P.124a2,P.124a1,P.123a,True,True,True,0.9551944909272371
Prohibitory Signs,P.124b1,P.124b1,P.124e,P.124f,True,True,True,0.9550872908698188
Prohibitory Signs,P.124b2,P.124b2,P.124b1,P.124f,True,True,True,0.9563150582490144
Prohibitory Signs,P.124c,P.124c,P.124a1,P.123a,True,True,True,0.9551519287957085
Prohibitory Signs,P.124d,P.124d,P.123a,P.123b,True,True,True,0.9453724401968496
Prohibitory Signs,P.124e,P.124e,P.124b1,P.124f,True,True,True,0.9544067824328387
Prohibitory Signs,P.124f,P.124f,P.103b,P.124b2,True,True,True,0.9558648444988109
Prohibitory Signs,P.125,P.125,P.126,P.124f,True,True,True,0.8800670482494212
Prohibitory Signs,P.126,P.126,P.125,P.120,True,True,True,0.8807719283633761
Prohibitory Signs,P.127,P.127,P.127_60,DP.134,True,True,True,0.8859762085808647
Prohibitory Signs,P.127_10,P.127_10,P.115,P.127_100,True,True,True,0.8880559250160499
Prohibitory Signs,P.127_100,P.127_100,P.127_90,P.127_40,True,True,True,0.8878835130620885
Prohibitory Signs,P.127_120,P.127_120,P.127_20,P.127_100,True,True,True,0.8880488166102656
Prohibitory Signs,P.127_20,P.127_20,P.127_120,P.127_70,True,True,True,0.8880432976616752
Prohibitory Signs,P.127_25,P.127_25,P.127_20,P.127_30,True,True,True,0.8879578201859085
Prohibitory Signs,P.127_30,P.127_30,P.127_20,P.127_80,True,True,True,0.8881140285068088
Prohibitory Signs,P.127_40,P.127_40,P.127_100,P.127,True,True,True,0.8878536224365233
Prohibitory Signs,P.127_5,P.127_5,P.127_10,P.127_60,True,True,True,0.8875468571980794
Prohibitory Signs,P.127_60,P.127_60,P.127_80,P.127_70,True,True,True,0.8879431177068638
Prohibitory Signs,P.127_70,P.127_70,P.127_60,P.127_80,True,True,True,0.8879441331934045
Prohibitory Signs,P.127_80,P.127_80,P.127_90,P.127_60,True,True,True,0.8879186135751229
Prohibitory Signs,P.127_90,P.127_90,P.127_80,P.127_60,True,True,True,0.8879847526550292
Prohibitory Signs,P.127a,P.127a,P.127_70,P.127,True,True,True,0.8273889047128182
Prohibitory Signs,P.127b,P.127b,P.127c,DP.127b,True,True,True,0.8708374235365125
Prohibitory Signs,P.127c,P.127c,P.127b,DP.127c,True,True,True,0.8495476157576949
Prohibitory Signs,P.128,P.128,P.103a,P.111a,True,True,True,0.8778553185639557
Prohibitory Signs,P.129,P.129,P.131b,P.102,True,True,True,0.8840006457434759
Prohibitory Signs,P.130,P.130,P.131a,P.131b,True,True,True,0.8406205177307128
Prohibitory Signs,P.131a,P.131a,P.131b,P.130,True,True,True,0.8861056168874104
Prohibitory Signs,P.131b,P.131b,P.131a,P.103b,True,True,True,0.8819358083936902
Prohibitory Signs,P.131c,P.131c,P.131b,P.131a,True,True,True,0.8822298579745822
Prohibitory Signs,P.132,P.132,P.124a1,P.124a2,True,True,True,0.8800941131733081
Prohibitory Signs,P.136,P.123b,P.124a2,P.124a1,False,False,False,0.900528554563169
Prohibitory Signs,P.137,P.123b,P.123a,P.124a1,False,False,False,0.9242434766557481
Prohibitory Signs,P.138,P.124a1,P.138,P.124a2,False,True,True,0.8925092573519106
Prohibitory Signs,P.139,P.123b,P.123a,P.139,False,False,True,0.9130555965282299
Prohibitory Signs,P.140,P.140,P.103a,P.107,True,True,True,0.8770917609885885
Supplementary Signs,DP.127a,DP.127a,DP.127c,P.127c,True,True,True,0.858242564731174
Supplementary Signs,DP.127b,DP.127b,DP.127c,P.127b,True,True,True,0.8555016341032804
Supplementary Signs,DP.127c,DP.127c,DP.127a,DP.127b,True,True,True,0.8444053685223614
Supplementary Signs,DP.133,DP.133,DP.135,P.125,True,True,True,0.8806797398461235
Supplementary Signs,DP.134,DP.134,DP.135,DP.133,True,True,True,0.8847872945997449
Supplementary Signs,DP.135,DP.135,DP.133,DP.134,True,True,True,0.8832010163201225
Warning Signs,W.201a,W.201a,W.202a,W.202b,True,True,True,0.9542633339210792
Warning Signs,W.201b,W.201b,W.246b,W.246c,True,True,True,0.9554927790606463
Warning Signs,W.201c,W.201c,W.201d,W.215c,True,True,True,0.8766127162509494
Warning Signs,W.201d,W.201d,W.201c,W.215c,True,True,True,0.8744261529710556
Warning Signs,W.202a,W.202a,W.202b,W.201a,True,True,True,0.949792499895449
Warning Signs,W.202b,W.202b,W.201a,W.201b,True,True,True,0.9389295313093398
Warning Signs,W.203a,W.203a,W.203b,W.203c,True,True,True,0.8630772519994664
Warning Signs,W.203b,W.203b,W.203c,W.203a,True,True,True,0.8645106333273428
Warning Signs,W.203c,W.203c,W.203b,W.203a,True,True,True,0.877429962158203
Warning Signs,W.204,W.204,W.207e,W.234,True,True,True,0.8760175528349698
Warning Signs,W.205a,W.205a,W.207j,W.207a,True,True,True,0.8711118256604229
Warning Signs,W.205b,W.202a,W.202b,W.205c,False,False,False,0.8744298440438729
Warning Signs,W.205c,W.205c,W.207e,W.207d,True,True,True,0.8577899226435908
Warning Signs,W.205d,W.205d,W.205c,W.218,True,True,True,0.8776366798966019
Warning Signs,W.205e,W.205e,W.207a,W.207h,True,True,True,0.8727312176315872
Warning Signs,W.206,W.206,W.234,W.246a,True,True,True,0.8773283693525525
Warning Signs,W.207a,W.207a,W.207e,W.207b,True,True,True,0.8764196413534658
Warning Signs,W.207b,W.207e,W.207b,W.207c,False,True,True,0.8679845244796187
Warning Signs,W.207c,W.207e,W.207c,W.207b,False,True,True,0.8634710400192825
Warning Signs,W.207d,W.207e,W.207d,W.207b,False,True,True,0.8731849635088884
Warning Signs,W.207e,W.207e,W.207d,W.207b,True,True,True,0.8772181228355124
Warning Signs,W.207f,W.207f,W.207g,W.207b,True,True,True,0.8618911195684361
Warning Signs,W.207g,W.207f,W.207g,W.207b,False,True,True,0.8604996380982575
Warning Signs,W.207h,W.207h,W.207i,W.207l,True,True,True,0.8721853715402108
Warning Signs,W.207i,W.207i,W.207h,W.207m,True,True,True,0.8645157990632233
Warning Signs,W.207j,W.207j,W.207k,W.207h,True,True,True,0.8598496825606734
Warning Signs,W.207k,W.207k,W.207j,W.207i,True,True,True,0.8611245155334472
Warning Signs,W.207l,W.207l,W.207m,W.207h,True,True,True,0.8638403680589463
Warning Signs,W.207m,W.207m,W.207l,W.207i,True,True,True,0.8576013070565682
Warning Signs,W.208,W.208,W.209,W.207i,True,True,True,0.8624635449162235
Warning Signs,W.209,W.209,W.207h,W.207i,True,True,True,0.8794461003056278
Warning Signs,W.210,W.210,W.213,W.211,True,True,True,0.879274218170731
Warning Signs,W.211,W.211,W.210,W.223b,True,True,True,0.8612148938355622
Warning Signs,W.212,W.212,W.203a,W.203b,True,True,True,0.8755094122003625
Warning Signs,W.213,W.213,W.218,W.214,True,True,True,0.8707556547941984
Warning Signs,W.214,W.214,W.215b,W.215c,True,True,True,0.8726228696328622
Warning Signs,W.215a,W.215a,W.215b,W.215c,True,True,True,0.8751420268306025
Warning Signs,W.215b,W.215b,W.215c,W.215a,True,True,True,0.8761991041677969
Warning Signs,W.215c,W.215c,W.215b,W.215a,True,True,True,0.8764548743212663
Warning Signs,W.216a,W.216a,W.216b,W.218,True,True,True,0.8659648983566849
Warning Signs,W.216b,W.216b,W.216a,W.228d,True,True,True,0.8721278420201053
Warning Signs,W.217,W.217,W.215c,W.215b,True,True,True,0.8798875720412642
Warning Signs,W.218,W.218,W.240,W.207a,True,True,True,0.8716627933360911
Warning Signs,W.219,W.219,W.220,W.228b,True,True,True,0.8677093717787
Warning Signs,W.220,W.220,W.219,W.228b,True,True,True,0.8674548820213034
Warning Signs,W.221a,W.221a,W.221b,W.236,True,True,True,0.8707735803392197
Warning Signs,W.221b,W.221b,W.221a,W.240,True,True,True,0.8736382237187137
Warning Signs,W.222a,W.222a,W.246b,W.246c,True,True,True,0.8713371312176739
Warning Signs,W.222b,W.222b,W.228c,W.201c,True,True,True,0.8742797463028519
Warning Signs,W.223a,W.223a,W.223b,W.228b,True,True,True,0.8723630375332302
Warning Signs,W.223b,W.223b,W.223a,W.228b,True,True,True,0.8678765296936034
Warning Signs,W.224,W.224,W.225,I.423a,True,True,True,0.8770959553895172
Warning Signs,W.225,W.225,W.224,W.241,True,True,True,0.8797073894076877
Warning Signs,W.226,W.226,W.224,W.241,True,True,True,0.878366019990709
Warning Signs,W.227,W.227,W.241,W.224,True,True,True,0.8743311829037136
Warning Signs,W.228a,W.228a,W.228b,W.223b,True,True,True,0.8719515888779251
Warning Signs,W.228b,W.228b,W.228a,W.223b,True,True,True,0.8735150849377666
Warning Signs,W.228c,W.228c,W.244,W.222b,True,True,True,0.8735168068497269
Warning Signs,W.228d,W.228d,W.239a,W.228a,True,True,True,0.8709604298626934
Warning Signs,W.229,W.229,W.241,W.207i,True,True,True,0.8801084624396429
Warning Signs,W.230,W.230,W.231,W.207h,True,True,True,0.8810636379100657
Warning Signs,W.231,W.231,W.230,W.207i,True,True,True,0.8823813862270778
Warning Signs,W.232,W.232,W.246b,W.246c,True,True,True,0.8698260872452347
Warning Signs,W.233,W.233,W.228d,,True,True,True,0.878957607128002
Warning Signs,W.234,W.234,W.204,W.207e,True,True,True,0.8695451065346046
Warning Signs,W.235,W.235,W.236,W.246c,True,True,True,0.8746169761375143
Warning Signs,W.236,W.236,W.235,W.246b,True,True,True,0.872469354558874
Warning Signs,W.237,W.237,W.218,W.246c,True,True,True,0.8793508211771647
Warning Signs,W.238,W.238,W.241,W.203a,True,True,True,0.8778969093605323
Warning Signs,W.239a,W.239a,W.228d,W.228a,True,True,True,0.8795596581918221
Warning Signs,W.239b,W.239b,P.117,P.119b,True,True,True,0.8756614702719229
Warning Signs,W.240,W.240,W.218,W.221b,True,True,True,0.8727172657295509
Warning Signs,W.241,W.241,W.238,W.207h,True,True,True,0.8768542254412615
Warning Signs,W.242a,W.242a,W.242b,P.101,True,True,True,0.8126685001232005
Warning Signs,W.242b,W.242b,W.242a,W.210,True,True,True,0.8648928536309135
